,date,msg,year,month,days,Month_Name,Day_Name,date_is_weekend
118,2015-03-14 00:02:00,П.39лет  П/Ж 37/43года   для С/О. 098 036 50 51,2015,14,March,March,Saturday,weekend
119,2014-08-08 22:39:00,Два парня для самых клевых девочек  сейчас 096 453 41 48,2014,8,August,August,Friday,weekday
120,2013-05-13 23:32:00,. Двое М на авто ищут Ж 067 860 33 09,2013,13,May,May,Monday,weekday
121,2013-12-09 01:09:00,холостяк хочет познакомится 40л богат,2013,9,December,December,Monday,weekday
122,2013-03-30 00:28:00,доброй ночи всем.Муж.познакомится с дев.или женщ.для серьёзных отношений.Стой которая не боится реальных отнош.0666667567 звоните.,2013,30,March,March,Saturday,weekend
123,2012-07-15 00:39:00,Есть дев/жен. без комплексов? Обмен фото. 093 566 51 28,2012,15,July,July,Sunday,weekend
124,2015-12-21 00:51:00,девушка познак с парнем для отнош.Днепр0951026398,2015,21,December,December,Monday,weekday
125,2013-02-11 23:52:00,Настюфанчик что у вас тут по программе?как у тя дела?выходные провела нормально?;-),2013,11,February,February,Monday,weekday
126,2014-11-02 01:19:00,ПОЗНАКОМЛЮСЬ С ДЕВУШКОЙ . СЕЖУ В ТЮРЬМЕ. 068-442-43-41,2014,2,November,November,Sunday,weekend
127,2014-05-05 23:58:00,дед хочю познакомиться с Д / Ж жду СМС  ММС 0973529898,2014,5,May,May,Monday,weekday
128,2012-04-17 00:40:00,ИЩУ ЖЕНЩИНУ КОТОРАЯ СМОЖЕТ УДИВИТЬ СМС 097 536 07 21,2012,17,April,April,Tuesday,weekday
129,2012-04-19 00:13:00,хаюшки  тин очка ! Где проп адала ? Как зд оровье ?,2012,19,April,April,Thursday,weekday
130,2015-11-12 01:08:00,Классный п 23) подружусь с девушкой 063 373 2678,2015,12,November,November,Thursday,weekday
131,2012-02-19 02:16:00,08.05.1977,2012,19,February,February,Sunday,weekend
132,2013-10-27 23:34:00,симп. Парень ищет  Мужчину или СЕМ/ПАРУ. 0634037972.,2013,27,October,October,Sunday,weekend
133,2012-01-05 23:47:00,П 28 ПОЗН. С ДЕВУШКОЙ ДЛЯ СЕРЬЕЗНЫХ ОТНОШЕНИЙ  0937430330 днепр.,2012,5,January,January,Thursday,weekday
134,2012-01-29 23:39:00,М33 Женат ищу   Ж/Ж+Ж до 40 для  Встреч СМС 067 707 61 43 Задержи,2012,29,January,January,Sunday,weekend
135,2013-11-23 01:53:00,щедр  красив  умен и богат  на своем авто! Нужна дама для приятных встреч Сергей,2013,23,November,November,Saturday,weekend
136,2013-01-26 01:29:00,приятных снов Жень,2013,26,January,January,Saturday,weekend
137,2013-12-14 01:07:00,Маша вернись ко мне! я твой!Коля,2013,14,December,December,Saturday,weekend
138,2015-07-30 23:40:00,М.- с Ж. Пошепчемся? - 099 735 08 03,2015,30,July,July,Thursday,weekday
139,2012-10-16 01:51:00,парень 25 из Днепра ищет девчонку для встреч 0664987260,2012,16,October,October,Tuesday,weekday
140,2015-02-10 01:26:00,Хочу ин.от.с девушки напишыте мне,2015,10,February,February,Tuesday,weekday
141,2016-11-05 22:54:00,м для м.095 767 56 87.ты за 30.,2016,5,November,November,Saturday,weekend
142,2013-03-14 00:49:00,Познакомлюсь с милой дамой лет 27,2013,14,March,March,Thursday,weekday
143,2014-05-15 22:36:00,эффект.длинноволосая брюнетка с хор.фигурой 28л.поз.со спорт.п.для сер.от. Алла,2014,15,May,May,Thursday,weekday
144,2013-06-10 00:40:00,Карина сделает  М до 40 звони,2013,10,June,June,Monday,weekday
145,2013-03-25 00:51:00,пар.поз.с Дев.Ж. с.красивой.до.30л.,2013,25,March,March,Monday,weekday
146,2012-05-12 23:40:00,Користувач ВЕЗУЧАЯ-Я проголосував ЗА кліп Cristina Rus — I dont see ya. Код 019.,2012,12,May,May,Saturday,weekend
147,2012-04-29 00:10:00,.м160.42.ищит.д.ж.для.жизни мо жно.с.ребёнком.0674788241,2012,29,April,April,Sunday,weekend
148,2014-11-09 00:10:00,п+м0964125953,2014,9,November,November,Sunday,weekend
149,2013-01-23 00:13:00,5 П24 серьезную девушку  для с/о  066 770 72 18,2013,23,January,January,Wednesday,weekday
150,2015-03-16 23:31:00,м.38/168/72 ищу Д/Ж жду СМС о себе 063 798 06 35,2015,16,March,March,Monday,weekday
151,2013-11-25 01:12:00,мальчик страстно поласкает девушку я ухожен очень жду 0939895061,2013,25,November,November,Monday,weekday
152,2014-11-02 00:27:00,Девушки кто скучает жду вгости Киев.Мне 27лет 06З2040429,2014,2,November,November,Sunday,weekend
153,2013-09-18 01:37:00,Жду парня без обязательств  жду звонка. Карина,2013,18,September,September,Wednesday,weekday
154,2015-08-17 23:19:00,Пар.33 пригл.дев.на свидание.есть авто.Днепр.0981265439.Жду!!!,2015,17,August,August,Monday,weekday
155,2013-11-08 00:23:00,хочу попробовать в машине. Карина  22 года  симпотичная,2013,8,November,November,Friday,weekday
156,2015-06-15 22:57:00,Зацелую мужчину до 65! Мне 34  Анна,2015,15,June,June,Monday,weekday
157,2014-10-13 00:35:00,есть в чате волшебник с палочкой?прилети ко мне я сама. Ольга,2014,13,October,October,Monday,weekday
158,2012-06-14 00:45:00,Ищу девушку для поездки на море. 067-5000-657 Крым  Бердянск и т.д.,2012,14,June,June,Thursday,weekday
159,2013-12-13 00:30:00,Романтическая Эля ищу своего романтика 26л,2013,13,December,December,Friday,weekday
160,2014-05-20 00:43:00,Симп Мужчина! Желает завтра встр с дев.жен для приятного 0688713659,2014,20,May,May,Tuesday,weekday
161,2014-11-24 01:51:00,для инги  096 381 58 66,2014,24,November,November,Monday,weekday
162,2015-04-04 22:59:00,ПАРЕНЬ НА АВТО ДЛЯ СТРОЙНОЙ ЛЕДИ . 0939492581,2015,4,April,April,Saturday,weekend
163,2014-01-27 00:01:00,ДНЕПР П39 ИЩУ Д-Ж28-38 ДЛЯ ЖИЗНИ РЕБ НЕПОМ0989876082СМС,2014,27,January,January,Monday,weekday
164,2012-04-03 02:26:00,М ЖДЁТ П 0635665577,2012,3,April,April,Tuesday,weekday
165,2014-03-01 23:29:00,Владимир 38 позн. с Ж для редких встреч и ощ.,2014,1,March,March,Saturday,weekend
166,2013-02-08 00:10:00,М ищу Девш.Для.ЖИЗНИ..Красивую.и.простую.23/29..063*57*63*440.,2013,8,February,February,Friday,weekday
167,2014-04-29 00:55:00,Юля набери! 0965086541,2014,29,April,April,Tuesday,weekday
168,2016-03-26 23:02:00,пар.32прок.дев.на авто по ночн.Днепру.0681705017,2016,26,March,March,Saturday,weekend
169,2014-05-19 23:07:00,Хтось проголосував ЗА кліп Лигалайз — Рожденные в СССР. Код 092.,2014,19,May,May,Monday,weekday
170,2014-04-25 00:24:00,Муж. 30 л. познакомится с дев. из Днепро-ска. ММS 0674241058,2014,25,April,April,Friday,weekday
171,2014-08-03 00:09:00,приглаш стройную девушку к себе в гости.могу подьехать сам.Максим,2014,3,August,August,Sunday,weekend
172,2013-12-06 23:57:00,всем привет забыл написать я парень ищу девушку для отношений 0638531534,2013,6,December,December,Friday,weekday
173,2012-03-02 01:48:00,доброго времени суток Вам. Багаев.,2012,2,March,March,Friday,weekday
174,2014-06-25 01:42:00,Девушка приедет к парню.привезу чай и кекс.,2014,25,June,June,Wednesday,weekday
175,2015-12-23 23:51:00,Совместимость сергей наташа,2015,23,December,December,Wednesday,weekday
176,2016-02-02 23:52:00,Ищу мужчину Я  рыжая Ж 21 люблю жестко . Кира,2016,2,February,February,Tuesday,weekday
177,2015-12-17 00:58:00,Мне нравится  когда меня хватают за волосы и делаю все что пожелают. Мне 24  Мила,2015,17,December,December,Thursday,weekday
178,2013-09-25 00:11:00,Познакомлюсь с милой девушкай. Я парень мне19лет 0936280593,2013,25,September,September,Wednesday,weekday
179,2012-12-15 00:10:00,ИЩУ Ж/Д 30-45ЛЕТ.ДЛЯ ВСТРЕЧ.:)СНАЧАЛА СМС!КОСМОС ПИШИТЕ.,2012,15,December,December,Saturday,weekend
180,2015-03-19 00:27:00,ПАРЕНЬ ЛЕТ 30 ПОЗНАКОМИТСЯ с ДЕВУШКОЙ  0678012195,2015,19,March,March,Thursday,weekday
181,2013-05-03 01:32:00,поставь 003,2013,3,May,May,Friday,weekday
182,2014-06-30 23:33:00,Просто пообщаюсь с приятной девушкой.Дима 21 год. 0933354716,2014,30,June,June,Monday,weekday
183,2013-10-01 01:43:00,Укротители есть? а то я распоясалась жду номерок),2013,1,October,October,Tuesday,weekday
184,2013-07-02 22:41:00,дима аня,2013,2,July,July,Tuesday,weekday
185,2014-05-16 00:44:00,ищу смелых парней готовых на необдуманные поступки,2014,16,May,May,Friday,weekday
186,2014-02-28 00:53:00,Ищу парня для сер.отн.я без детей послушная.Катька,2014,28,February,February,Friday,weekday
187,2013-02-15 23:57:00,м 52 ищу не высокую ж для встреч днепр лев берег 0937013589,2013,15,February,February,Friday,weekday
188,2016-04-11 00:36:00,П25 пообщаюсь с симпотичной д\\ж 0957621101,2016,11,April,April,Monday,weekday
189,2013-09-12 00:12:00,ХОЧУ ТАКОГО ЧТОБ ДРУГОГО НЕ ХОТЕЛОСЬ -КСЮША -095 44 55 016 задержы,2013,12,September,September,Thursday,weekday
190,2014-11-25 01:04:00,Парень 35 познакомлюсь с ж за 40 097 492 36 52 пишите,2014,25,November,November,Tuesday,weekday
191,2013-05-16 01:11:00,мне 32 ищу красивую  девушку! Для приятных отношений..днепр! 0632154242,2013,16,May,May,Thursday,weekday
192,2012-07-11 00:15:00,М 29 ЛЕТ ИЩЕТ ДЕВУШКУ ДЛЯ РЕАЛЬНЫХ И ПРИЯТНЫХ ВСТРЕЧ. 0676069755,2012,11,July,July,Wednesday,weekday
193,2014-04-19 23:47:00,ПРИВЕТ Я ДМИТРИЙ ИЗ ДНЕПРА ПОЗНАКОМЛЮСЬ ИЗ ДЕВУШКОЙ 20 ЛЕТ ДЛЯ С.О 0931473214,2014,19,April,April,Saturday,weekend
194,2014-02-11 00:50:00,Удовлетворю любогго  мне30 Илона,2014,11,February,February,Tuesday,weekday
195,2015-02-11 01:24:00,М38 ПОЗНАКОМИТСЯ С ДЕВУШКОЙ ОТ 29ЛЕТ ДЕТИ НЕ ПОМЕХА 066 783 15 11 ЕСТЬ КИЕВ.,2015,11,February,February,Wednesday,weekday
196,2013-08-18 00:09:00,Симп.Парень ищет подругу для жизни до 35 лет.,2013,18,August,August,Sunday,weekend
197,2014-02-03 22:55:00,М 44 ИЩУ СТРОЙНУЮ ПОСЛУШНУЮ  0638944582,2014,3,February,February,Monday,weekday
198,2016-10-17 00:00:00,Нужна стройняшка дев. приглашу к себе!,2016,17,October,October,Monday,weekday
199,2013-07-31 01:10:00,неопытная девушка  хочет научиться у опытного,2013,31,July,July,Wednesday,weekday
200,2013-05-18 23:38:00,познак.с дев.26-30из Дн-жинска 063 137 4930,2013,18,May,May,Saturday,weekend
201,2013-10-21 01:15:00,шикарная телочка ищет своего самца. Кристи,2013,21,October,October,Monday,weekday
202,2012-07-29 23:31:00,Витаха Дндз братанчик с дн,2012,29,July,July,Sunday,weekend
203,2013-10-02 00:49:00,Сергей. З0 186 76. Ищу симпотичную  стройную девушку 25-29 лет для с/о.,2013,2,October,October,Wednesday,weekday
204,2014-05-17 01:21:00,хочу общение и ... Звоните  0935100266,2014,17,May,May,Saturday,weekend
205,2013-03-08 02:00:00,Дев 22 ищет парня для с/о 23-30л,2013,8,March,March,Friday,weekday
206,2015-01-11 01:46:00,Кто не против встретиться с красивой.. хочу мужчину любого возраста. Маргарита,2015,11,January,January,Sunday,weekend
207,2014-02-14 01:03:00,ласковая кошечка ищет своего ночного котика,2014,14,February,February,Friday,weekday
208,2013-08-19 01:19:00,кто утешит девушку??? парнидайте номерок перезвоню),2013,19,August,August,Monday,weekday
209,2012-08-02 00:13:00,Аня+Саша. И поставь пожалуста 018 спасибо. :-).,2012,2,August,August,Thursday,weekday
210,2014-05-15 02:07:00,есть в чате волшебник с палочкой?прилети ко мне я сама. Ольга,2014,15,May,May,Thursday,weekday
